corpus,model,retrieval,docs,records,accept,occupancy,acc_scored,correctness,band_correctness
bc5cdr,qwen3_8b,lexical,40,98,19,0.19387755102040816,19,1.0,0.41025641025641024
finer,qwen3_8b,dense*,40,96,0,0.0,0,,0.4444444444444444
geo,qwen3_8b,lexical,40,95,63,0.6631578947368421,56,0.25,0.13333333333333333
lgl,qwen3_8b,lexical,40,121,88,0.7272727272727273,79,0.17721518987341772,0.0
psytar,qwen3_8b,dense,40,97,29,0.29896907216494845,17,0.8823529411764706,0.4230769230769231
trnews,qwen3_8b,lexical,40,105,80,0.7619047619047619,71,0.15492957746478872,0.25
