corpus,model,retrieval,docs,records,accept,occupancy,acc_scored,correctness,band_correctness
lgl,gpt-oss_20b,lexical,40,440,271,0.615909090909091,230,0.1782608695652174,0.125
lgl,granite4_micro-h,lexical,40,201,47,0.23383084577114427,40,0.125,0.046511627906976744
lgl,llama3.1_8b,lexical,40,145,87,0.6,76,0.23684210526315788,0.07692307692307693
lgl,mistral_7b-instruct,lexical,40,252,165,0.6547619047619048,143,0.16783216783216784,0.06896551724137931
trnews,gpt-oss_20b,lexical,40,414,295,0.7125603864734299,253,0.13438735177865613,0.031746031746031744
trnews,granite4_micro-h,lexical,40,217,89,0.41013824884792627,75,0.06666666666666667,0.023809523809523808
trnews,llama3.1_8b,lexical,40,328,208,0.6341463414634146,161,0.09937888198757763,0.08695652173913043
trnews,mistral_7b-instruct,lexical,40,234,178,0.7606837606837606,156,0.09615384615384616,0.0
