rung,layer,n_records,accept,band,reject,abstained,escalated,verified,r1_reject_pct,r1_mode,coverage,f1_sct_strict,yield,settled,corrupted,sct_outdated,sct_abstained,err_per_100,sct_modernised,tokens_per_record,p95_s,reviews_per_100,marginal_tokens_per_error,marginal_reviews_per_error,ci_low,ci_high
0,bare LLM,304,0,0,0,0,0,0,,,1.0,0.15132,0.15132,0,258,0,0,84.868,0,3116.32,135.0963,0.0,,,,
1,deterministic,304,0,301,3,0,0,0,0.987,observe,1.0,0.15132,0.15132,0,258,0,0,84.868,0,0.0,0.0005,0.0,,,,
2,self-correct,304,0,0,0,0,0,0,,,1.0,0.15132,0.15132,0,258,0,0,84.868,0,0.0,0.0,0.0,,,,
3,voting,304,0,0,0,0,0,0,,,1.0,0.17105,0.17105,0,252,0,0,82.895,0,8655.4,295.6519,0.0,438540.5,0.0,,
4,LLM judge,304,0,0,0,0,0,0,,,1.0,0.17105,0.17105,0,252,0,0,82.895,0,887.86,2.311,0.0,,,,
5,abstention,304,0,0,0,304,0,0,,,0.0,0.0,0.0,304,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,
6,human loop,304,0,0,0,0,304,0,,,0.0,0.0,0.0,304,0,0,0,0.0,0,0.0,0.0,100.0,,,,
