rung,layer,n_records,accept,band,reject,abstained,escalated,verified,r1_reject_pct,r1_mode,coverage,f1_sct_strict,yield,settled,corrupted,sct_outdated,sct_abstained,err_per_100,sct_modernised,tokens_per_record,p95_s,reviews_per_100,marginal_tokens_per_error,marginal_reviews_per_error,ci_low,ci_high
5,abstention,238,0,0,0,187,0,51,,,0.21429,0.82353,0.17647,238,9,0,0,3.782,0,0.0,0.0,0.0,,,,
6,human loop,238,0,0,0,0,187,51,,,0.21429,0.82353,0.17647,238,9,0,0,3.782,0,0.0,0.0,78.57,,,,
