rung,layer,n_records,accept,band,reject,abstained,escalated,verified,r1_reject_pct,r1_mode,coverage,f1_sct_strict,yield,settled,corrupted,sct_outdated,sct_abstained,err_per_100,sct_modernised,tokens_per_record,p95_s,reviews_per_100,marginal_tokens_per_error,marginal_reviews_per_error,ci_low,ci_high
0,bare LLM,230,0,0,0,0,0,0,,,1.0,0.37826,0.37826,0,143,0,1,62.174,0,703.34,1.0146,0.0,,,,
1,deterministic,230,53,175,2,0,0,0,0.87,observe,1.0,0.37826,0.37826,0,143,0,1,62.174,0,0.0,0.0011,0.0,,,,
2,self-correct,230,0,1,0,0,0,0,,,1.0,0.37826,0.37826,0,143,0,1,62.174,0,5.47,0.0,0.0,,,,
3,voting,230,0,1,0,0,0,0,,,1.0,0.37391,0.37391,0,144,0,0,62.609,0,1879.74,2.8105,0.0,,,,
4,LLM judge,230,0,0,0,0,0,0,,,1.0,0.37391,0.37391,0,144,0,0,62.609,0,675.64,1.995,0.0,,,,
5,abstention,230,0,0,0,177,0,53,,,0.23043,0.75472,0.17391,230,13,0,0,5.652,0,0.0,0.0,0.0,0.0,0.0,,
6,human loop,230,0,0,0,0,177,53,,,0.23043,0.75472,0.17391,230,13,0,0,5.652,0,0.0,0.0,76.96,,,,
